대분류,중분류,소분류,기능명,설명,작업상태,우선순위,구현파일,인수조건
홈,AI 보조,카드 진입,홈 카드별 컨텍스트 챗 진입,생산·주문·손익 홈 카드 각각에서 현재 카드 문맥을 유지한 채 AI 질의를 시작할 수 있게 한다.,미착수,P1,,각 홈 카드 우측 상단 인접 영역에서 해당 도메인 컨텍스트 챗을 열 수 있다.
홈,바로가기,핵심 동선,생산·주문·손익분석 바로가기,기존 점주 흐름을 해치지 않는 범위에서 세 핵심 기능으로 빠르게 이동하는 바로가기를 제공한다.,완료,P2,,홈 카드 또는 바로가기 영역에서 세 핵심 페이지로 1클릭 이동이 가능하다.
생산관리,재고 조회,실시간 현황,5분 단위 재고 조회 화면,생산 대상 품목의 현재 재고와 마지막 업데이트 시각을 5분 단위 조회 기준으로 표시한다.,완료,P1,,현재고와 갱신 시각이 함께 노출되고 overview 응답 기준 상태 배지가 표시된다.
생산관리,재고 예측,품절 위험,1시간 후 예상 재고 표시,SKU별 1시간 후 예상 재고량과 품절 위험 상태를 표시한다.,완료,P1,,위험·주의·안전 상태와 예측 재고가 명확하게 구분되어 표시된다.
생산관리,생산 패턴,패턴 비교,4주 평균 생산 패턴 패널,4주 평균 1차·2차 생산 시간과 수량을 SKU 기준으로 확인할 수 있는 패널을 제공한다.,완료,P1,,1차/2차 생산 시간 및 수량이 SKU별로 노출된다.
생산관리,재고 테이블,핵심 컬럼,SKU별 현재 재고·1시간 후 예측·4주 평균 1차/2차 생산 고정 노출,점주 판단에 필요한 핵심 값을 하나의 SKU 행 또는 고정 레이아웃 안에 통합해 비교 가능하게 한다.,미착수,P1,,"각 SKU에서 현재 재고, 1시간 후 예측, 4주 평균 1차/2차 생산 정보가 동시에 보인다."
생산관리,알림,생산 시점,생산 필요 시점 자동 감지 및 알림,재고 소진 속도와 생산 패턴을 기반으로 생산이 필요한 시점을 자동 감지하고 알림으로 제공한다.,미착수,P1,,생산 필요 SKU가 감지 기준과 함께 상단 경고 또는 알림함에 표시된다.
생산관리,알림,속도 이상,판매 속도 기반 소진 가속 알림,평시 대비 소진 속도가 빠른 SKU에 대해 “오늘 이 제품 소진 속도가 빠릅니다” 같은 알림을 제공한다.,미착수,P1,,속도 이상 SKU가 상단 배너 또는 행 경고로 표시되고 일반 품절 위험과 구분된다.
생산관리,알림,재고 위험,재고 소진 1시간 전 PUSH 알림,재고가 1시간 내 소진될 것으로 예상되는 SKU에 대해 PUSH 알림을 제공한다.,미착수,P1,,재고 소진 예상 1시간 전에 PUSH 알림이 발송되고 관련 SKU와 예상 소진 시각이 표시된다.
생산관리,알림,재료 위험,재료 소진 1시간 전 PUSH 알림,재료-상품 연결 기준으로 재료 부족이 예상될 때 생산 영향 경고와 PUSH 알림을 제공한다.,미착수,P1,,재료 소진 예상 SKU와 영향 범위가 상품 단위로 표시되고 1시간 전 알림이 발송된다.
생산관리,실행,생산 등록,생산 등록 입력 모달,점주 또는 운영 담당자가 생산 등록 수량과 시점을 입력할 수 있는 모달을 제공한다.,완료,P1,,모달에서 현재고·예측값 확인 후 생산 등록 API 호출이 가능하다.
생산관리,의사결정,효과 추정,생산 시 찬스 로스 감소 효과 추정,지금 생산할 경우 찬스 로스를 몇 % 줄일 수 있는지 사전 효과를 수치로 안내한다.,미착수,P1,,생산 등록 전 예상 감소 효과가 SKU 단위로 표시된다.
생산관리,의사결정,산출 로직,찬스 로스 감소 효과 산출 기준 표시,찬스 로스 감소 효과가 어떤 재고 소진 예측과 판매 기회 손실 기준으로 계산됐는지 설명한다.,미착수,P1,,효과 수치 옆에 계산 기준 또는 근거 툴팁이 표시된다.
생산관리,피드백,등록 결과,찬스 로스 피드백 카드,생산 등록 완료 후 찬스 로스 감소 또는 발생 피드백을 카드 형태로 제공한다.,완료,P2,,등록 완료 시 피드백 메시지와 등록 정보가 노출된다.
생산관리,실행,품절 처리,재고 기반 품절 처리 제안 및 채널 연동 준비 UI,재고 기반 품절 처리 제안과 배달앱 품절 연동을 위한 상태/액션 UI를 제공한다.,미착수,P2,,품절 처리 대상 SKU에 대해 제안 상태와 수동 확정 버튼 또는 준비중 상태가 표시된다.
주문관리,운영 원칙,목적,주문 누락 방지 중심 운영 원칙,주문관리 화면과 추천 UX의 목적을 주문 누락 방지로 명시하고 예측 및 권고는 최소 범위로 제공한다.,미착수,P1,,화면 상단 또는 추천 영역에 주문 누락 방지 목적과 권고 최소화 원칙이 노출된다.
주문관리,마감 알림,카운트다운,주문 마감 카운트다운,주문 마감 20분 전 알림 상황을 남은 시간 중심으로 시각화한다.,완료,P1,,deadline_minutes 기준으로 남은 시간이 초기화되고 마감 임박 시 경고 상태가 강조된다.
주문관리,마감 알림,푸시/배너,주문 마감 20분 전 알림 노출,주문 마감 20분 전 시점에 홈과 주문관리 화면에서 즉시 확인 가능한 알림을 제공한다.,미착수,P1,,20분 전이 되면 홈 또는 알림함에 주문 마감 임박 알림이 생성된다.
주문관리,주문 옵션,기본 비교,3가지 주문 옵션 카드,과거 데이터 기반 3개 주문 옵션을 카드로 제공하고 점주가 비교 선택할 수 있게 한다.,완료,P1,,각 옵션 카드에 상품별 수량과 선택 액션이 표시된다.
주문관리,주문 옵션,기준 재정의,전일·전주 동요일·점주 반복 패턴 3축 고정,"추천 3안의 기준을 전일, 전주 동요일, 점주 반복 패턴으로 명확히 분리해 이해 가능성을 높인다.",미착수,P1,,세 옵션의 라벨과 설명이 3축 기준으로 고정되고 서로 다른 비교 근거가 명확히 표시된다.
주문관리,추천 근거,설명 강화,추천 근거를 수치와 문장으로 동시 제공,추천 근거를 단순 텍스트가 아니라 증감 수치와 설명 문장으로 함께 제공한다.,미착수,P1,,각 옵션에 추천 근거 수치와 자연어 설명이 함께 표시된다.
주문관리,추천 근거,예외 변수,날씨·행사·특수일 예외 변수 반영 설명,추천 수량에 반영된 날씨와 행사 및 특수일 등 예외 변수를 별도 블록으로 보여준다.,미착수,P1,,옵션 카드에서 어떤 예외 변수가 반영됐는지 확인할 수 있다.
주문관리,개인화,기본값,점주 반복 패턴 기반 기본값 제안,점주가 자주 수정하는 수량과 선택 패턴을 기억해 기본 추천안 또는 수량을 개인화한다.,미착수,P2,,이전 선택 이력 기반 개인화 기본값 또는 배지가 표시된다.
주문관리,보정,조기 품절 대응,조기 품절 품목 익일 추가 주문 제안,조기 품절이 발생한 품목에 대해 익일 추가 주문이 필요한 SKU를 별도로 제안한다.,미착수,P1,,조기 품절 SKU가 별도 보정 영역에 노출되고 익일 추가 주문 수량이 표시된다.
주문관리,추천 근거,특이사항,옵션별 특이사항 노출,캠페인·명절·이상치 등 옵션별 특이사항과 추천 근거를 함께 표시한다.,완료,P1,,옵션 카드에서 추천 배지와 특이사항 설명을 확인할 수 있다.
주문관리,의사결정,최종 확정,점주 최종 선택 확인,최종 의사결정은 점주가 수행하도록 선택 확인과 사유 입력 흐름을 제공한다.,완료,P1,,옵션 선택 후 사유 입력 및 최종 선택 저장이 정상 동작한다.
주문관리,의사결정,CTA 정책,점주 최종 결정 강조 CTA와 문구,추천이 자동 결정처럼 보이지 않도록 점주가 최종 확정한다는 문구와 CTA를 명확히 노출한다.,미착수,P1,,추천 카드와 하단 CTA에 점주 최종 결정 문구가 일관되게 표시된다.
주문관리,의사결정,이력 복원,주문 선택 이력 조회 및 상태 복원,페이지 진입 시 최근 주문 선택 이력을 조회해 이미 선택된 경우 완료 화면으로 자동 복원한다.,완료,P2,,이미 선택된 옵션이 있으면 페이지 진입 시 완료 화면이 바로 표시된다.
손익분석,통합,정보 구조,Sales와 Analytics 통합,기존 매출 현황과 매출 조회를 하나의 손익분석 경험으로 통합해 메뉴 중복을 제거한다.,미착수,P1,,점주 메인 네비게이션에서 중복 메뉴가 사라지고 분석 기능이 손익분석 페이지에 통합된다.
손익분석,질의 입력,자연어 분석,자연어 질의 입력 인터페이스,자연어로 매출·배달·상품·채널·점포 비교 질의를 입력하고 응답을 확인한다.,완료,P1,,텍스트 입력 후 응답 카드가 정상적으로 표시된다.
손익분석,추천 질문,빠른 시작,예상 질문 세트 10개 이상 노출,예상 질문을 10개 이상 제공해 손익 관련 질의를 빠르게 시작하게 한다.,완료,P1,,추천 질문이 10개 이상 노출되고 클릭 시 자동 입력된다.
손익분석,요약,기본 탭,순이익 기본 탭 추가,매출이 아닌 순이익을 기본 진입 탭 또는 기본 요약값으로 제공한다.,미착수,P1,,페이지 첫 진입 시 순이익 정보가 기본으로 노출된다.
손익분석,요약,핵심 카드,오늘·주간 순이익 요약 카드,오늘과 주간 단위 순이익을 카드 형태로 요약해 손익 상태를 빠르게 파악하게 한다.,미착수,P1,,"오늘 순이익, 주간 누적 순이익, 증감 상태가 카드로 노출된다."
손익분석,계산,손익 구성,카드 수수료·원가·인건비·고정비 반영 손익 계산,순이익 계산에 필요한 주요 비용 요소를 분리 표시해 점주가 이익 구조를 이해하게 한다.,미착수,P1,,손익 계산 카드에서 비용 항목별 반영값을 확인할 수 있다.
손익분석,계산,손익분기점,손익분기점 및 추가 판매 필요 수량 설명,손익분기점 도달 여부와 몇 개 더 팔아야 흑자인지 실행 가능한 문장으로 설명한다.,미착수,P1,,손익분기점 상태와 추가 필요 판매 수량이 문장 및 수치로 함께 표시된다.
손익분석,비교,비교군 분석,동일 행사·직영점 대비 비교군 분석,동일 행사 점포 또는 직영점 대비 성과 차이를 비교군 기반으로 보여준다.,미착수,P2,,비교군 기준과 차이 지표가 비식별 기준으로 노출된다.
손익분석,응답 구조,실행 인사이트,실행 가능한 인사이트 표시,단순 요약이 아니라 실행 가능한 액션 아이템 형태의 인사이트를 제공한다.,완료,P1,,응답마다 액션 리스트 또는 운영 권고가 포함된다.
손익분석,응답 구조,맞춤화,매장 맞춤형 답변 제공,매장별 운영 패턴과 최근 성과를 반영해 동일 질문에도 점포 맞춤형 답변을 제공한다.,미착수,P1,,응답 카드에 해당 매장의 최근 성과 또는 운영 맥락이 반영된 설명이 포함된다.
손익분석,응답 구조,근거 표기,근거 데이터·비교 기준·계산 기준일 표시,질의 응답에서 근거 데이터 출처와 비교군 기준 및 계산 기준일을 함께 표시한다.,미착수,P1,,"응답 카드에 출처와 비교 기준, 기준일이 누락 없이 표시된다."
알림함,통합,알림 경험,홈 내 통합 알림 섹션 또는 별도 알림함 페이지,"생산 긴급 알림, 주문 마감 알림, 재고 소진 알림, 재료 소진 알림을 홈 통합 섹션 또는 별도 `/alerts` 페이지에서 확인하게 한다.",미착수,P2,,알림 목록에서 생산·주문·재고·재료 관련 항목을 모아 보고 상세 진입이 가능하다.
관리자영역,분리,메뉴 정책,본사/오케스트레이션 화면 메인 네비 분리,주문 코칭과 생산 점검 및 시그널과 오케스트레이션 화면을 점주용 메인 네비에서 분리해 관리자 후속 영역으로 이동한다.,미착수,P1,,점주 역할 메인 네비게이션에서 본사/오케스트레이션 메뉴가 제거되거나 별도 관리자 영역으로 분리된다.
